alps: accepted=8846 sampled=8846 omitted=0 max-height-error=0.0001297 rejects=RoadSurfaceReport { accepted: 8846, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
autobahn: accepted=14713 sampled=14713 omitted=0 max-height-error=0.0000572 rejects=RoadSurfaceReport { accepted: 14713, rejected_degenerate: 7, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
canyon: accepted=8913 sampled=8913 omitted=0 max-height-error=0.0001640 rejects=RoadSurfaceReport { accepted: 8913, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
castle: accepted=13124 sampled=13124 omitted=0 max-height-error=0.0001125 rejects=RoadSurfaceReport { accepted: 13124, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
coastal: accepted=6776 sampled=6776 omitted=0 max-height-error=0.0000696 rejects=RoadSurfaceReport { accepted: 6776, rejected_degenerate: 1, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
farmland: accepted=9226 sampled=9226 omitted=0 max-height-error=0.0000792 rejects=RoadSurfaceReport { accepted: 9226, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
foothills: accepted=7889 sampled=7889 omitted=0 max-height-error=0.0000610 rejects=RoadSurfaceReport { accepted: 7889, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
forest: accepted=8010 sampled=8010 omitted=0 max-height-error=0.0000381 rejects=RoadSurfaceReport { accepted: 8010, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
industrial: accepted=10728 sampled=10728 omitted=0 max-height-error=0.0000730 rejects=RoadSurfaceReport { accepted: 10728, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
monaco1: accepted=3658 sampled=3658 omitted=0 max-height-error=0.0000229 rejects=RoadSurfaceReport { accepted: 3658, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
monaco2: accepted=3641 sampled=3641 omitted=0 max-height-error=0.0000229 rejects=RoadSurfaceReport { accepted: 3641, rejected_degenerate: 0, rejected_vertical: 20, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
monaco3: accepted=4401 sampled=4401 omitted=0 max-height-error=0.0000229 rejects=RoadSurfaceReport { accepted: 4401, rejected_degenerate: 0, rejected_vertical: 16, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
monaco4: accepted=5064 sampled=5064 omitted=0 max-height-error=0.0000229 rejects=RoadSurfaceReport { accepted: 5064, rejected_degenerate: 0, rejected_vertical: 20, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
monaco5: accepted=3594 sampled=3594 omitted=0 max-height-error=0.0000229 rejects=RoadSurfaceReport { accepted: 3594, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
skidpad: accepted=1124 sampled=1124 omitted=0 max-height-error=0.0000031 rejects=RoadSurfaceReport { accepted: 1124, rejected_degenerate: 0, rejected_vertical: 0, rejected_non_finite: 0, rejected_out_of_bounds: 0, rejected_giant: 0 }
